customer_id,name,age,gender,tenure,monthly_charges,total_charges,internet_service,payment_method,contract_type,churn
C001,Arun K,25,male,5,450.5,2300,Fiber optic,UPI,Month-to-month,Yes
C002, Neha  S ,??,female,12,590,??,Fiberr,Credit Card,Mont-to-mont,No
C003,Rahul Menon,34,male, 24 ,670.0,16000,DSL ,UPI,Yearly,Yes
C004,Meera  T,29,female,NAN,550.75,550.75, fiber optic ,Debit Card,Month-to-month,no
C005,Aswin P,46,male,60,799,48000,Fiber optic,Cash,Two year,Yes
C006, Athira S,38,female,14,699,NAN,DSL ,UPI,Mont-to-mont,No
C007,Harish K,31,male,??,575,3400,Fiberr,Netbanking,Month-to-mont,Yes
C008,Divya M,27,female,8, 620 ,4900.5,Fiber optic ,Credit Card,One year,No
C009,Suraj P,45,male,56,820,??,DSL,UPI,Two year,Yes
C010, Sneha  R,22,female,3,480.25,1400.75,??,Cash,Month-to-month,no
C011,Abhijith K,33,male,20,670,15000,Fiber optic,Debit Card,Mont-to-mont,Yes
C012,Anjali V,30,female,??,550,NAN,DSL ,UPI,Month-to-month,No
C013,Vishnu S,41,male,49,720.0,35000,Fiberr,Netbanking,One year,Yes
C014, Lakshmi  L,28,female,16,630,10200,fiber optic,Credit Card,Two year,No
C015,Arjun R,39,male,30,700,NAN,DSL ,UPI,Month-to-month,Yes
C016,Megha K,26,female,??,580,3400,Fiber optic,Debit Card,Mont-to-mont,no
C017,Praveen T,47,male,60,890,45000,Fiberr ,Cash,Two year,Yes
C018,Nimisha P,24,female,4,499.5,2000,DSL,UPI,Month-to-month,No
C019,Rehan A,29,male,NAN,650,7800,Fiber optic,Credit Card,One year,Yes
C020, Arya  S,33,female,20,600,13000,DSL ,Netbanking,Mont-to-mont,no
C021,Gokul M,36,male,44,720,32000,Fiberr,UPI,One year,Yes
C022, Keerthi M,28,female,??,560.25,NAN,Fiber optic ,Credit Card,Month-to-month,No
C023,Santhosh P,52,male,60,850,48000,DSL ,Cash,Two year,Yes
C024,Nisha K,27,female,10,590,5000,Fiberr,Debit Card,Mont-to-mont,no
C025,Akash S,31,male,12,650,7000,DSL,UPI,Month-to-month,Yes
C026, Remya V,30,female,18,620,11000,Fiber optic,Netbanking,Yearly,No
C027,Rohit B,40,male,NAN,730,33000,DSL ,Cash,Mont-to-mont,Yes
C028, Sreya  P,23,female,5,510,2000,Fiberr,UPI,Month-to-month,No
C029,Naveen T,37,male,48,800.75,39000,Fiber optic,Credit Card,Two year,Yes
C030, Ammu M,26,female,11,570,5600,DSL,Debit Card,One year,no
C031,Jithin S,43,male,55,830,??,Fiber optic ,Cash,Two year,Yes
C032,Anu L,29,female,14,NAN,6800,DSL,UPI,Mont-to-mont,no
C033,Manu R,35,male,20,700,14000,Fiberr,Netbanking,Month-to-mont,Yes
C034, Keerthana S,21,female,3,480,1500,Fiber optic,Credit Card,One year,No
C035,Kiran K,28,male,??,600.5,??,DSL ,UPI,Month-to-mont,Yes
C036,Shilpa P,32,female,18,650,12000,Fiberr,Debit Card,Month-to-mont,no
C037,Basil T,44,male,50,810,43000,fiber optic,UPI,Yearly,Yes
C038, Nayana  V,27,female,12,600,7000,DSL,Netbanking,Mont-to-mont,no
