customer_id,name,age,gender,tenure,monthly_charges,total_charges,internet_service,payment_method,contract_type,churn
C001,Arun K,25,male,5,450.5,2252.5,fiber optic,UPI,month-to-month,Yes
C002, Neha  S ,33,female,12,590.0,7080.0,fiber optic,Credit Card,month-to-month,No
C003,Rahul Menon,34,male,24,670.0,16080.0,dsl,UPI,one year,Yes
C004,Meera  T,29,female,24,550.75,13218.0,fiber optic,Debit Card,month-to-month,No
C005,Aswin P,46,male,60,799.0,47940.0,fiber optic,Cash,two year,Yes
C006, Athira S,38,female,14,699.0,9786.0,dsl,UPI,month-to-month,No
C007,Harish K,31,male,24,575.0,13800.0,fiber optic,Netbanking,month-to-month,Yes
C008,Divya M,27,female,8,620.0,4960.0,fiber optic,Credit Card,one year,No
C009,Suraj P,45,male,56,820.0,45920.0,dsl,UPI,two year,Yes
C011,Abhijith K,33,male,20,670.0,13400.0,fiber optic,Debit Card,month-to-month,Yes
C012,Anjali V,30,female,24,550.0,13200.0,dsl,UPI,month-to-month,No
C013,Vishnu S,41,male,49,720.0,35280.0,fiber optic,Netbanking,one year,Yes
C014, Lakshmi  L,28,female,16,630.0,10080.0,fiber optic,Credit Card,two year,No
C015,Arjun R,39,male,30,700.0,21000.0,dsl,UPI,month-to-month,Yes
C016,Megha K,26,female,24,580.0,13920.0,fiber optic,Debit Card,month-to-month,No
C017,Praveen T,47,male,60,890.0,53400.0,fiber optic,Cash,two year,Yes
C018,Nimisha P,24,female,4,499.5,1998.0,dsl,UPI,month-to-month,No
C019,Rehan A,29,male,24,650.0,15600.0,fiber optic,Credit Card,one year,Yes
C020, Arya  S,33,female,20,600.0,12000.0,dsl,Netbanking,month-to-month,No
C021,Gokul M,36,male,44,720.0,31680.0,fiber optic,UPI,one year,Yes
C022, Keerthi M,28,female,24,560.25,13446.0,fiber optic,Credit Card,month-to-month,No
C023,Santhosh P,52,male,60,850.0,51000.0,dsl,Cash,two year,Yes
C024,Nisha K,27,female,10,590.0,5900.0,fiber optic,Debit Card,month-to-month,No
C025,Akash S,31,male,12,650.0,7800.0,dsl,UPI,month-to-month,Yes
C026, Remya V,30,female,18,620.0,11160.0,fiber optic,Netbanking,one year,No
C027,Rohit B,40,male,24,730.0,17520.0,dsl,Cash,month-to-month,Yes
C028, Sreya  P,23,female,5,510.0,2550.0,fiber optic,UPI,month-to-month,No
C029,Naveen T,37,male,48,800.75,38436.0,fiber optic,Credit Card,two year,Yes
C030, Ammu M,26,female,11,570.0,6270.0,dsl,Debit Card,one year,No
C031,Jithin S,43,male,55,830.0,45650.0,fiber optic,Cash,two year,Yes
C032,Anu L,29,female,14,649.79,9097.02,dsl,UPI,month-to-month,No
C033,Manu R,35,male,20,700.0,14000.0,fiber optic,Netbanking,month-to-month,Yes
C034, Keerthana S,21,female,3,480.0,1440.0,fiber optic,Credit Card,one year,No
C035,Kiran K,28,male,24,600.5,14412.0,dsl,UPI,month-to-month,Yes
C036,Shilpa P,32,female,18,650.0,11700.0,fiber optic,Debit Card,month-to-month,No
C037,Basil T,44,male,50,810.0,40500.0,fiber optic,UPI,one year,Yes
C038, Nayana  V,27,female,12,600.0,7200.0,dsl,Netbanking,month-to-month,No
C039,Rajeesh P,39,male,30,730.0,21900.0,fiber optic,Credit Card,one year,Yes
C040, Diya S,25,female,8,520.25,4162.0,fiber optic,Cash,month-to-month,No
C041,Akhil K,30,male,20,650.0,13000.0,dsl,UPI,month-to-month,Yes
C042,Reshma M,28,female,24,590.0,14160.0,fiber optic,Debit Card,month-to-month,No
C043,Sachin P,42,male,48,820.0,39360.0,fiber optic,Netbanking,two year,Yes
C044, Megha  T,24,female,6,510.0,3060.0,dsl,UPI,one year,No
C045,Suhail K,34,male,22,680.0,14960.0,fiber optic,Credit Card,month-to-month,Yes
C046, Divya L,29,female,10,590.5,5905.0,dsl,Debit Card,month-to-month,No
C047,Joel A,45,male,55,850.0,46750.0,fiber optic,UPI,two year,Yes
C048, Nandana S,23,female,4,520.0,2080.0,dsl,Credit Card,month-to-month,No
C049,Abin B,33,male,25,690.0,17250.0,fiber optic,Netbanking,month-to-month,Yes
C050, Athulya M,27,female,12,600.0,7200.0,fiber optic,UPI,one year,No
C051,Rahim T,41,male,50,810.0,40500.0,dsl,UPI,two year,Yes
C052,Meenu K,25,female,7,540.5,3783.5,fiber optic,Credit Card,month-to-month,No
C053,Sarath P,36,male,32,700.0,22400.0,fiber optic,Cash,one year,Yes
C054, Aiswarya V,29,female,14,600.0,8400.0,dsl,Netbanking,month-to-month,No
C055,Amal R,38,male,24,720.0,17280.0,fiber optic,UPI,month-to-month,Yes
C056, Fathima M,24,female,5,499.0,2495.0,fiber optic,Debit Card,month-to-month,No
C057,Jinson K,40,male,40,740.0,29600.0,dsl,Credit Card,one year,Yes
C058, Riya S,26,female,9,580.0,5220.0,fiber optic,Cash,month-to-month,No
C059,Afsal P,35,male,20,690.0,13800.0,fiber optic,UPI,month-to-month,Yes
C060, Neethu L,28,female,11,600.0,6600.0,dsl,Netbanking,one year,No
C061,Varun T,44,male,52,830.0,43160.0,fiber optic,Credit Card,two year,Yes
C062, Vidya  K,27,female,13,590.0,7670.0,fiber optic,UPI,month-to-month,No
C063,Binoy M,33,male,25,680.0,17000.0,dsl,Debit Card,month-to-month,Yes
